book_id	book_title	number	headword	native_definition_en	japanese_meaning	etymology	example_B_en	example_B_ja	example_C_en	example_C_ja	example_D_en	example_D_ja
dist1	Distinction I	1	low-key	Restrained, subtle, not trying to attract attention.	控えめで、控えめで、注目を集めようとしない		John's fashion sense is very low key.	ジョンのファッションセンスは非常に控えめです。	They're keeping their relationship low key.	彼らは関係を控えめに保っています。	Modest. Secret.	控えめに。秘密
dist1	Distinction I	2	drive sb up the wall	"Used in contexts such as: ""That constant drilling noise is really driving me up the wall.""."	「その絶え間ないドリルの音が本当に私を壁に突き上げている」などの文脈で使用されます。	「ドライブ」を中心とした慣用表現。	That constant drilling noise is really driving me up the wall.	絶え間なく続くドリルの音は本当に私を壁に突き上げます。	It really drives me up the wall when people talk loudly on the phone.	人々が電話で大声で話していると、本当に壁にぶつかってしまいます。	Drive somebody crazy.	誰かを狂わせるために
dist1	Distinction I	3	black and white	Clear-cut; involving only two opposing sides with no gray area.	明確な	「黒」を中心とした慣用的な表現。	Things in life are never black and white.	人生において物事は白か黒かということは決してありません。	Using this new software, the profitability of each product will be black and white.	この新しいソフトウェアを使用すると、各製品の収益性が白黒はっきりします。	An ambiguous.	曖昧なものに
dist1	Distinction I	4	sloppy	not neat, elegant, or careful.	きちんとしていない、エレガントではない、または慎重ではない		The bridge collapsed soon after completion because of the sloppy construction work.	ずさんな工事のため、橋は完成後すぐに崩壊した。	The financial manager cited lack of attention to detail or sloppy work as the most annoying behavior by coworkers.	財務マネージャーは、同僚の最も迷惑な行動として、細部への注意力の欠如やずさんな仕事を挙げました。	Careless.	不注意に
dist1	Distinction I	5	kick sb out	To force someone to leave a place.	誰かにその場所から強制的に退去させること	「キック」を中心とした慣用表現。	If you pour another drink on someone, you're gonna get kicked out of the bar.	誰かにまた飲み物を注ぐと、バーから追い出されます。	I got kicked out of the club for missing too many meetings.	あまりにも多くのミーティングに欠席したため、クラブから追い出されました。	for somebody to leave.	誰かにその場所から強制的に退去させること
dist1	Distinction I	6	over the top	"Used in contexts such as: ""I think painting every wall in the house bright yellows a bit over the top.""."	「家の中のすべての壁を明るい黄色に塗るのは、少しやりすぎだと思います。」などの文脈で使用されます。	「以上」を中心とした慣用表現。	I think painting every wall in the house bright yellows a bit over the top.	家のすべての壁を明るい黄色に塗るのは、ちょっとやりすぎだと思います。	Matt's reaction to losing the game was a bit over the top.	試合に負けたときのマットの反応は少し行き過ぎだった。	Too much.	多すぎる
dist1	Distinction I	7	ancient	A person who lived in ancient times.	古代に生きた人		The car only starts sometimes because it's so ancient.	とても古い車なので時々しか始動しません。	I can't believe he still is 9th on 6. That's 1.	彼が6でまだ9位だなんて信じられない。それは1だ。	Very old	とても古いものに
dist1	Distinction I	8	watch out for sth/sb	To be careful of someone or something.	誰かや何かに注意すること	「時計」を中心とした慣用表現。	When driving at night, you need to watch out for wildlife that may appear unexpectedly.	夜間の運転では、突然現れる野生動物に注意する必要があります。	Watch out for that broken stare at the bottom of the staircase.	階段の下での壊れた視線に注意してください。	Be careful of something or somebody.	何かまたは誰かに注意すること
dist1	Distinction I	9	figure sth out	To understand or solve something.	何かを理解したり解決したりすること	「図」を中心とした慣用表現。	The company is trying to figure out how to please millennial employees.	同社はミレニアル世代の従業員を満足させる方法を模索している。	Should I ask the teacher or figure it out myself?	先生に聞いたほうがいいですか、それとも自分で考えたほうがいいですか？	Understand or solve something.	何かを理解したり解決したりすること
dist1	Distinction I	10	slack off	To work less hard than usual.	いつもより頑張らないようにする	「緩み」を中心とした慣用的な表現。	Everyone slacks off on Fridays.	金曜日はみんな怠けます。	Why are you slacking off? We got to finish this work by the end of today.	なぜサボっているのですか？私たちは今日の終わりまでにこの仕事を終わらせなければなりません。	Work less hard than usual.	いつもより頑張らないようにする
